Categoria,Ejercicio,Intensidad,Equipo_Requerido,Grupo_Muscular_Primario,Grupo_Muscular_Secundario,Dificultad,Duracion_Estimada_x_Set(min),Quemado_Calorico_x_Minuto,Impacto,Descripcion_Corta,Alternativas_Equipo,Tipo_Ejercicio,Sets_Recomendados,Reps_Recomendadas,Requerimiento_Movilidad,Estabilidad_Requerida
Tren Superior,Flexiones,Media,Ninguno,Pectoral,Triceps,Principiante,2,4.5,1,"Flexión clásica de brazos en suelo",Mochila cargada,Strength,3,12-15,Baja,Media
Tren Superior,Fondos de tríceps en banco,Media,Banco/Silla,Triceps,Deltoides,Intermedio,3,3.8,2,"Fondos usando banco para tríceps",Silla resistente,Strength,4,8-12,Media,Alta
Tren Superior,Press de hombros con mochila,Alta,Mochila,Deltoides,Trapecio,Avanzado,4,5.2,2,"Press overhead con mochila cargada",Garrafas de agua,Strength,5,6-8,Alta,Alta
Tren Superior,Elevaciones laterales con botellas,Media,Botellas de agua,Deltoides,Trapecio,Intermedio,3,3.5,3,"Elevaciones laterales con peso improvisado",Mancuernas,Strength,4,10-12,Media,Media
Tren Superior,Flexiones diamante,Alta,Ninguno,Triceps,Pectoral,Intermedio,3,4.8,1,"Flexiones con manos en forma de diamante",Ninguno,Strength,3,8-10,Media,Alta
Tren Superior,Flexiones declinadas,Alta,Banco/Silla,Pectoral,Triceps,Avanzado,4,5.0,1,"Flexiones con pies elevados en banco",Escalón,Strength,4,6-8,Alta,Alta
Tren Superior,Flexiones inclinadas,Baja,Banco/Silla,Pectoral,Triceps,Principiante,2,3.0,3,"Flexiones con manos elevadas en banco",Muro,Strength,3,12-15,Baja,Baja
Tren Superior,Flexiones explosivas,Alta,Ninguno,Pectoral,Triceps,Avanzado,5,6.5,1,"Flexiones con impulso para despegar manos",Ninguno,Plyometric,4,5-8,Alta,Alta
Tren Superior,Flexiones con palmada,Alta,Ninguno,Pectoral,Triceps,Avanzado,5,7.0,1,"Flexiones explosivas con palmada en aire",Ninguno,Plyometric,4,4-6,Alta,Alta
Tren Superior,Flexiones hindú,Alta,Ninguno,Pectoral,Deltoides,Avanzado,4,5.5,2,"Flexión con rotación corporal y arqueo",Ninguno,Strength,3,6-8,Alta,Alta
Tren Superior,Flexiones pike,Media,Ninguno,Deltoides,Triceps,Intermedio,3,4.2,2,"Flexión en posición de pike (cadera elevada)",Ninguno,Strength,4,8-10,Media,Alta
Tren Superior,Flexiones pseudo planche,Alta,Ninguno,Pectoral,Deltoides,Avanzado,5,6.0,1,"Flexiones con manos cerca de la cadera",Ninguno,Strength,3,5-7,Alta,Alta
Tren Superior,Fondos en suelo,Media,Ninguno,Triceps,Deltoides,Intermedio,3,4.0,2,"Fondos de tríceps en suelo",Banco,Strength,4,10-12,Media,Alta
Tren Superior,Flexiones espartanas,Alta,Ninguno,Pectoral,Triceps,Avanzado,4,5.8,1,"Flexiones alternando posición de manos",Ninguno,Strength,3,6-8,Alta,Media
Tren Superior,Flexiones de arquero,Alta,Ninguno,Pectoral,Oblicuos,Avanzado,4,5.5,1,"Flexiones con desplazamiento lateral de brazos",Ninguno,Strength,3,6-8,Alta,Alta
Tren Superior,Plancha alta con toque de hombros,Media,Ninguno,Deltoides,Abdomen,Intermedio,2,3.5,3,"Plancha alta alternando toque de hombros",Ninguno,Isometrico,3,10-12 por lado,Baja,Alta
Tren Superior,Remo con toalla en puerta,Media,Toalla/Puerta,Dorsales,Bíceps,Intermedio,4,4.5,2,"Remo horizontal usando toalla en puerta",Cuerda,Strength,4,8-10,Media,Media
Tren Superior,Aperturas con botellas,Media,Botellas de agua,Pectoral,Deltoides,Intermedio,3,3.8,3,"Aperturas pectorales con peso improvisado",Mancuernas,Strength,4,12-15,Baja,Baja
Tren Superior,Press Arnold con botellas,Alta,Botellas de agua,Deltoides,Triceps,Avanzado,4,5.5,2,"Press de hombros con rotación (Arnold)",Mancuernas,Strength,4,6-8,Alta,Alta
Tren Superior,Curl de bíceps con mochila,Media,Mochila,Bíceps,Antebrazo,Principiante,3,3.2,3,"Curl de bíceps usando mochila como peso",Garrafas,Strength,3,12-15,Baja,Baja
Tren Superior,Flexiones en pared,Baja,Ninguno,Pectoral,Triceps,Principiante,2,2.0,3,"Flexiones asistidas contra la pared",Ninguno,Strength,3,15-20,Baja,Baja
Tren Superior,Pino en pared,Alta,Pared,Deltoides,Trapecio,Avanzado,5,6.5,1,"Posición de pino apoyado en pared",Ninguno,Isometrico,3,20-30s,Alta,Alta
Tren Superior,Plancha de antebrazos,Baja,Ninguno,Abdomen,Full Body,Principiante,2,2.5,3,"Plancha isométrica en antebrazos",Ninguno,Isometrico,3,30-60s,Baja,Alta
Tren Superior,Remo invertido en mesa,Media,Mesa,Dorsales,Bíceps,Intermedio,3,4.0,2,"Remo invertido usando borde de mesa",Barra,Strength,4,8-10,Media,Alta
