Categoria,Ejercicio
Tren Superior,Flexiones
Tren Superior,Fondos de tríceps en banco
Tren Superior,Press de hombros con mochila
Tren Superior,Elevaciones laterales con botellas
Tren Superior,Flexiones diamante
Tren Superior,Flexiones declinadas
Tren Superior,Flexiones inclinadas
Tren Superior,Flexiones explosivas
Tren Superior,Flexiones con palmada
Tren Superior,Flexiones hindú
Tren Superior,Flexiones pike
Tren Superior,Flexiones pseudo planche
Tren Superior,Fondos en suelo
Tren Superior,Flexiones espartanas
Tren Superior,Flexiones de arquero
Tren Superior,Plancha alta con toque de hombros
Tren Superior,Remo con toalla en puerta
Tren Superior,Aperturas con botellas
Tren Superior,Press Arnold con botellas
Tren Superior,Curl de bíceps con mochila
Tren Superior,Flexiones en pared
Tren Superior,Pino en pared
Tren Superior,Plancha de antebrazos
Tren Superior,Remo invertido en mesa
Tren Superior,Flexiones con toalla en puerta
Tren Superior,Flexiones de arquero inclinadas
Tren Superior,Flexiones superman
Tren Superior,Press militar con mochila
Tren Superior,Flexiones con peso en espalda
Tren Superior,Extensiones de tríceps en silla
Tren Superior,Rotaciones externas de hombro
Tren Superior,Flexiones en barra baja
Tren Superior,Plancha alta con elevación de brazo
Tren Superior,Remo en anillas improvisadas
Tren Superior,Fondos de tríceps en suelo
Tren Superior,Flexiones con cambio de apoyo
Tren Superior,Flexiones diamante declinadas
Tren Superior,Flexiones inclinadas con carga
Tren Superior,Encogimientos escapulares en barra
Tren Superior,Encogimientos de hombros con garrafas
Tren Superior,Elevaciones frontales con botellas
Tren Superior,Extensiones de tríceps en suelo
Tren Superior,Remo en anillas improvisadas
Tren Superior,Flexiones con desplazamiento lateral
Tren Superior,Plancha alta con elevación de pierna
Tren Superior,Press con garrafas
Tren Superior,Curl martillo con botellas
Tren Superior,Plancha con toque de hombros
Tren Superior,Flexiones de arquero
Tren Superior,Flexiones pseudo planche inclinadas
Tren Inferior,Sentadillas
Tren Inferior,Zancadas
Tren Inferior,Puente de glúteos
Tren Inferior,Elevación de talones
Tren Inferior,Sentadilla búlgara
Tren Inferior,Peso muerto con mochila
Tren Inferior,Pistol squat
Tren Inferior,Step-up en silla
Tren Inferior,Saltos en sentadilla
Tren Inferior,Sentadilla sumo
Tren Inferior,Patada de glúteo
Tren Inferior,Hip thrust con mochila
Tren Inferior,Isométrico en pared
Tren Inferior,Desplantes laterales
Tren Inferior,Elevación de piernas acostado
Tren Inferior,Saltos a una pierna
Tren Inferior,Sentadillas isométricas
Tren Inferior,Extensión de cadera en suelo
Tren Inferior,Elevaciones de talón a una pierna
Tren Inferior,Saltos al cajón improvisado
Tren Inferior,Escaleras con peso
Tren Inferior,Buenos días con mochila
Tren Inferior,Saltos pliométricos
Tren Inferior,Saltos de tijera
Tren Inferior,Marcha en puntas de pie
Tren Inferior,Sentadillas con salto explosivo
Tren Inferior,Desplantes con salto
Tren Inferior,Caminata en sentadilla
Tren Inferior,Peso muerto rumano con mochila
Tren Inferior,Isométrico en sentadilla profunda
Tren Inferior,Patadas laterales
Tren Inferior,Sentadilla Jefferson improvisada
Tren Inferior,Subida de escalón con mochila
Tren Inferior,Flexión de rodilla en suelo
Tren Inferior,Extensión de cadera con resistencia
Tren Inferior,Sentadilla con desplazamiento lateral
Tren Inferior,Prensa improvisada con mochila
Tren Inferior,Puente de glúteos unilateral
Tren Inferior,Peso muerto sumo con mochila
Tren Inferior,Saltos a una pierna desde altura
Tren Inferior,Balanceos de pierna
Tren Inferior,Zancadas inversas
Tren Inferior,Marcha de rodillas arriba
Tren Inferior,Sentadilla Hindu
Tren Inferior,Saltos de rana
Tren Inferior,Extensión de cadera en fitball improvisado
Tren Inferior,Saltos con cuerda
Tren Inferior,Patada trasera con resistencia
Tren Inferior,Sentadilla pistol asistida
Tren Inferior,Subida de escalón alternado
Tren Inferior,Saltos en banco
Core,Plancha
Core,Plancha lateral
Core,Crunch abdominal
Core,Bicicleta abdominal
Core,Elevación de piernas
Core,Tijeras
Core,Plancha con toque de hombro
Core,Ab wheel improvisado
Core,Mountain climbers
Core,Rodilla al pecho
Core,Giros rusos
Core,Superman
Core,Levantamiento de pelvis
Core,Plancha con levantamiento de pierna
Core,Plancha con giro
Core,Plancha con desplazamiento
Core,Plancha con elevación de brazo
Core,Sit-ups
Core,V-ups
Core,Toques a los pies
Core,Crunch con peso
Core,L-sit en suelo
Core,Rollouts en toalla
Core,Plancha con codos
Core,Plancha con cambio de apoyo
Core,Flexión de torso en V
Core,Crunch bicicleta
Core,Giros rusos con peso
Core,Dead bug
Core,Dragon flag
Core,Plank walk
Core,Levantamiento de torso en banco
Core,Elevaciones de pierna suspendido
Core,Hollow body
Core,Flutter kicks
Core,Abdominales con giro
Core,Plank climbers
Core,Flexión lateral de tronco
Core,Plancha Superman
Core,Plancha isométrica larga
Core,Plancha con toque de rodilla
Core,Crunches con giro
Core,Levantamiento de piernas con balón
Core,Plancha en banco
Core,V-ups con toque de pies
Core,Plancha en fitball improvisado
Core,Crunch con piernas en 90°
Core,Plancha con palmada
Core,Superman isométrico
Core,Elevación lateral de tronco
Core,Plancha con estiramiento de brazos
Full Body,Burpees
Full Body,Saltos de caja
Full Body,Escalador
Full Body,Jumping Jacks
Full Body,Salto con rodillas al pecho
Full Body,Skipping
Full Body,Bear crawl
Full Body,Thrusters improvisados
Full Body,Shadow boxing
Full Body,Mountain climbers con rotación
Full Body,Saltos a la comba
Full Body,Sprint en el lugar
Full Body,Dominadas en barra improvisada
Full Body,Escalada en cuerda improvisada
Full Body,Gateo de cangrejo
Full Body,Step-up con salto
Full Body,Golpes explosivos con saco improvisado
Full Body,Thrusters con garrafas
Full Body,Desplantes con peso
Full Body,Sentadilla con salto y giro
Full Body,Flexiones con salto
Full Body,Plancha con salto
Full Body,Pino con flexión
Full Body,Plancha con desplazamiento rápido
Full Body,Lanzamiento de balón improvisado
Full Body,Elevaciones de piernas con impulso
Full Body,Sentadilla con puñetazos
Full Body,Abdominales explosivos
Full Body,Zancadas dinámicas
Full Body,Saltos de patinador
Full Body,Plancha con salto lateral
Full Body,Salto con giro de 180°
Full Body,Carrera con rodillas altas
Full Body,Flexiones en explosión
Full Body,Sprint con cambios de ritmo
Full Body,Escaladores cruzados
Full Body,Jump squats
Full Body,Flexiones con salto y cambio de mano
Full Body,Caminata lateral en plancha
Full Body,Golpes con mancuernas improvisadas
